"분류군","등급","국명","학명","고유종","국가적색목록","세계자연보전연맹"
"포유류","I","늑대","Canis lupus coreanus",,"RE","LC"
"포유류","I","대륙사슴","Cervus nippon hortulorum",,"RE","LC"
"포유류","I","반달가슴곰","Ursus thibetanus ussuricus",,"EN","VU"
"포유류","I","붉은박쥐","Myotis rufoniger ",,"VU","LC"
"포유류","I","사향노루","Moschus moschiferus ",,"CR","VU"
"포유류","I","산양","Naemorhedus caudatus ",,"VU","VU"
"포유류","I","수달","Lutra lutra ",,"VU","NT"
"포유류","I","스라소니","Lynx lynx ",,"RE","LC"
"포유류","I","여우","Vulpes vulpes peculiosa",,"EN","LC"
"포유류","I","작은관코박쥐","Murina ussuriensis ",,"EN","LC"
"포유류","I","표범","Panthera pardus orientalis",,"RE","VU"
"포유류","I","호랑이","Panthera tigris altaica",,"RE","EN"
"포유류","II","담비","Martes flavigula ",,"VU","LC"
"포유류","II","무산쇠족제비","Mustela nivalis ",,"VU","LC"
"포유류","II","물개","Callorhinus ursinus ",,"VU","VU"
"포유류","II","물범","Phoca largha ",,"EN","LC"
"포유류","II","삵","Prionailurus bengalensis ",,"VU","LC"
"포유류","II","큰바다사자","Eumetopias jubatus ",,"NA","NT"
"포유류","II","토끼박쥐","Plecotus auritus ",,"VU","LC"
"포유류","II","하늘다람쥐","Pteromys volans aluco",,"VU","LC"
"조류","I","검독수리","Aquila chrysaetos ",,"EN","LC"
"조류","I","넓적부리도요","Eurynorhynchus pygmeus ",,"CR","CR"
"조류","I","노랑부리백로","Egretta eulophotes ",,"EN","VU"
"조류","I","두루미","Grus japonensis ",,"EN","EN"
"조류","I","매","Falco peregrinus ",,"VU","LC"
"조류","I","먹황새","Ciconia nigra ",,"EN","LC"
"조류","I","저어새","Platalea minor ",,"VU","EN"
"조류","I","참수리","Haliaeetus pelagicus ",,"EN","VU"
"조류","I","청다리도요사촌","Tringa guttifer ",,"EN","EN"
"조류","I","크낙새","Dryocopus javensis ","Y","RE","LC"
"조류","I","호사비오리","Mergus squamatus ",,"EN","EN"
"조류","I","혹고니","Cygnus olor ",,"EN","LC"
"조류","I","황새","Ciconia boyciana ",,"EN","EN"
"조류","I","흰꼬리수리","Haliaeetus albicilla ",,"VU","LC"
"조류","II","개리","Anser cygnoides ",,"EN","VU"
"조류","II","검은머리갈매기","Larus saundersi ",,"EN","VU"
"조류","II","검은머리물떼새","Haematopus ostralegus ",,"VU","LC"
"조류","II","검은머리촉새","Emberiza aureola ",,"VU","VU"
"조류","II","검은목두루미","Grus grus ",,"LC","LC"
"조류","II","고니","Cygnus columbianus ",,"VU","LC"
"조류","II","고대갈매기","Larus relictus ",,"EN","VU"
"조류","II","긴꼬리딱새","Terpsiphone atrocaudata ",,"VU","NT"
"조류","II","긴점박이올빼미","Strix uralensis ",,"EN","LC"
"조류","II","까막딱다구리","Dryocopus martius ",,"VU","LC"
"조류","II","노랑부리저어새","Platalea leucorodia ",,"VU","LC"
"조류","II","느시","Otis tarda ",,"EN","VU"
"조류","II","독수리","Aegypius monachus ",,"VU","NT"
"조류","II","따오기","Nipponia nippon ",,"RE","EN"
"조류","II","뜸부기","Gallicrex cinerea ",,"VU","LC"
"조류","II","무당새","Emberiza sulphurata ",,"VU","VU"
"조류","II","물수리","Pandion haliaetus ",,"VU","LC"
"조류","II","벌매","Pernis ptilorhynchus ",,"VU","LC"
"조류","II","붉은배새매","Accipiter soloensis ",,"VU","LC"
"조류","II","붉은어깨도요","Calidris tenuirostris ",,"NE","EN"
